# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl8;60;1440229426;eth0;1325.07;1350.55;336.27;340.80;0.00;0.00;0.00
pgxl8;60;1440229426;lo;205.98;205.98;48.88;48.88;0.00;0.00;0.00
pgxl8;60;1440229486;eth0;5081.00;5065.15;6158.34;6180.25;0.00;0.00;0.00
pgxl8;60;1440229486;lo;683.23;683.23;881.99;881.99;0.00;0.00;0.00
pgxl8;60;1440229546;eth0;12969.72;13009.65;17279.94;17519.01;0.00;0.00;0.00
pgxl8;60;1440229546;lo;1622.53;1622.53;2456.72;2456.72;0.00;0.00;0.00
pgxl8;60;1440229606;eth0;2645.85;2829.87;2986.77;3061.85;0.00;0.00;0.00
pgxl8;60;1440229606;lo;364.42;364.42;432.32;432.32;0.00;0.00;0.00
pgxl8;60;1440229666;eth0;32.98;32.85;90.80;109.84;0.00;0.00;0.00
pgxl8;60;1440229666;lo;11.10;11.10;14.82;14.82;0.00;0.00;0.00
pgxl8;60;1440229726;eth0;24.62;24.08;76.92;76.15;0.00;0.00;0.00
pgxl8;60;1440229726;lo;8.60;8.60;12.10;12.10;0.00;0.00;0.00
pgxl8;60;1440229786;eth0;34.05;33.37;104.04;103.41;0.00;0.00;0.00
pgxl8;60;1440229786;lo;11.18;11.18;16.17;16.17;0.00;0.00;0.00
pgxl8;60;1440229846;eth0;1.97;1.72;0.18;1.82;0.00;0.00;0.00
pgxl8;60;1440229846;lo;4.00;4.00;0.96;0.96;0.00;0.00;0.00
pgxl8;60;1440229906;eth0;422.97;544.68;47.64;1545.82;0.00;0.00;0.00
pgxl8;60;1440229906;lo;56.43;56.43;7.50;7.50;0.00;0.00;0.00
pgxl8;60;1440229966;eth0;1127.22;1134.18;129.39;144.89;0.00;0.00;0.00
pgxl8;60;1440229966;lo;170.27;170.27;20.16;20.16;0.00;0.00;0.00
pgxl8;60;1440230026;eth0;3.00;4.43;0.70;19.32;0.00;0.00;0.00
pgxl8;60;1440230026;lo;9.58;9.58;1.75;1.75;0.00;0.00;0.00
pgxl8;60;1440230086;eth0;2.00;1.82;0.18;2.58;0.00;0.00;0.00
pgxl8;60;1440230086;lo;8.17;8.17;1.47;1.47;0.00;0.00;0.00
pgxl8;60;1440230146;eth0;36.07;38.33;122.65;140.60;0.00;0.00;0.00
pgxl8;60;1440230146;lo;9.82;9.82;18.48;18.48;0.00;0.00;0.00
pgxl8;60;1440230206;eth0;1101.85;1320.65;523.59;2688.74;0.00;0.00;0.00
pgxl8;60;1440230206;lo;165.38;165.38;76.95;76.95;0.00;0.00;0.00
pgxl8;60;1440230266;eth0;1510.07;1549.40;5988.93;6006.12;0.00;0.00;0.00
pgxl8;60;1440230266;lo;217.07;217.07;860.87;860.87;0.00;0.00;0.00
pgxl8;60;1440230326;eth0;9861.92;9937.12;18071.20;18778.43;0.00;0.00;0.00
