# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl1;60;1440226796;eth0;24.77;14.82;200.04;1.44;0.00;0.00;0.00
pgxl1;60;1440226796;lo;9.32;9.32;1.67;1.67;0.00;0.00;0.00
pgxl1;60;1440226856;eth0;125.08;130.35;537.74;534.02;0.00;0.00;0.00
pgxl1;60;1440226856;lo;37.75;37.75;78.69;78.69;0.00;0.00;0.00
pgxl1;60;1440226916;eth0;2180.99;2185.97;2028.50;2073.73;0.00;0.00;0.00
pgxl1;60;1440226916;lo;339.13;339.13;308.06;308.06;0.00;0.00;0.00
pgxl1;60;1440226976;eth0;951.11;951.88;5572.15;5606.36;0.00;0.00;0.00
pgxl1;60;1440226976;lo;156.39;156.39;837.21;837.21;0.00;0.00;0.00
pgxl1;60;1440227036;eth0;1032.63;999.02;5948.33;6075.03;0.00;0.00;0.00
pgxl1;60;1440227036;lo;164.63;164.63;894.99;894.99;0.00;0.00;0.00
pgxl1;60;1440227096;eth0;1029.08;992.65;5967.58;6063.32;0.00;0.00;0.00
pgxl1;60;1440227096;lo;186.07;186.07;926.05;926.05;0.00;0.00;0.00
pgxl1;60;1440227156;eth0;1014.68;981.77;5936.36;6038.42;0.00;0.00;0.00
pgxl1;60;1440227156;lo;156.27;156.27;866.86;866.86;0.00;0.00;0.00
pgxl1;60;1440227216;eth0;1003.18;992.40;5941.06;6021.78;0.00;0.00;0.00
pgxl1;60;1440227216;lo;148.93;148.93;856.40;856.40;0.00;0.00;0.00
pgxl1;60;1440227276;eth0;1025.32;986.37;6007.62;6099.50;0.00;0.00;0.00
pgxl1;60;1440227276;lo;138.97;138.97;859.78;859.78;0.00;0.00;0.00
pgxl1;60;1440227336;eth0;1053.45;1083.48;6270.95;6236.71;0.00;0.00;0.00
pgxl1;60;1440227336;lo;153.55;153.55;901.74;901.74;0.00;0.00;0.00
pgxl1;60;1440227396;eth0;1161.92;1167.08;6989.11;7077.83;0.00;0.00;0.00
pgxl1;60;1440227396;lo;163.88;163.88;1008.41;1008.41;0.00;0.00;0.00
pgxl1;60;1440227456;eth0;1130.73;1108.23;6632.54;6717.35;0.00;0.00;0.00
pgxl1;60;1440227456;lo;153.22;153.22;948.60;948.60;0.00;0.00;0.00
pgxl1;60;1440227516;eth0;1080.30;1059.47;6355.73;6428.88;0.00;0.00;0.00
pgxl1;60;1440227516;lo;147.80;147.80;912.68;912.68;0.00;0.00;0.00
pgxl1;60;1440227576;eth0;1021.67;1040.65;6081.34;6115.99;0.00;0.00;0.00
pgxl1;60;1440227576;lo;142.27;142.27;869.13;869.13;0.00;0.00;0.00
pgxl1;60;1440227636;eth0;271.50;257.17;1509.14;1484.83;0.00;0.00;0.00
pgxl1;60;1440227636;lo;43.13;43.13;212.70;212.70;0.00;0.00;0.00
pgxl1;60;1440227696;eth0;124.50;109.63;580.72;298.64;0.00;0.00;0.00
pgxl1;60;1440227696;lo;28.38;28.38;83.94;83.94;0.00;0.00;0.00
pgxl1;60;1440227756;eth0;628.72;652.77;2882.52;3192.46;0.00;0.00;0.00
pgxl1;60;1440227756;lo;85.90;85.90;414.30;414.30;0.00;0.00;0.00
pgxl1;60;1440227816;eth0;4558.82;4560.30;549.17;605.04;0.00;0.00;0.00
pgxl1;60;1440227816;lo;643.48;643.48;77.69;77.69;0.00;0.00;0.00
pgxl1;60;1440227876;eth0;6696.67;6695.32;790.90;887.94;0.00;0.00;0.00
pgxl1;60;1440227876;lo;978.38;978.38;116.47;116.47;0.00;0.00;0.00
pgxl1;60;1440227936;eth0;6787.27;6787.08;805.52;898.76;0.00;0.00;0.00
pgxl1;60;1440227936;lo;978.07;978.07;116.62;116.62;0.00;0.00;0.00
pgxl1;60;1440227996;eth0;6811.55;6812.40;806.33;902.47;0.00;0.00;0.00
pgxl1;60;1440227996;lo;989.63;989.63;117.90;117.90;0.00;0.00;0.00
pgxl1;60;1440228056;eth0;3446.05;3446.97;4162.15;4213.43;0.00;0.00;0.00
pgxl1;60;1440228056;lo;474.02;474.02;598.32;598.32;0.00;0.00;0.00
pgxl1;60;1440228116;eth0;14407.98;14410.28;21268.31;21470.67;0.00;0.00;0.00
pgxl1;60;1440228116;lo;1783.77;1783.77;3029.09;3029.09;0.00;0.00;0.00
pgxl1;60;1440228176;eth0;1.70;1.55;0.15;0.79;0.00;0.00;0.00
pgxl1;60;1440228176;lo;3.73;3.73;0.91;0.91;0.00;0.00;0.00
pgxl1;60;1440228236;eth0;1.80;1.47;0.16;0.83;0.00;0.00;0.00
pgxl1;60;1440228236;lo;3.68;3.68;0.91;0.91;0.00;0.00;0.00
pgxl1;60;1440228296;eth0;1.47;1.30;0.13;0.73;0.00;0.00;0.00
pgxl1;60;1440228296;lo;4.33;4.33;0.96;0.96;0.00;0.00;0.00
pgxl1;60;1440228356;eth0;991.47;988.12;223.35;232.74;0.00;0.00;0.00
pgxl1;60;1440228356;lo;149.58;149.58;34.14;34.14;0.00;0.00;0.00
pgxl1;60;1440228416;eth0;3050.43;3051.37;955.33;1006.37;0.00;0.00;0.00
pgxl1;60;1440228416;lo;442.28;442.28;137.50;137.50;0.00;0.00;0.00
pgxl1;60;1440228476;eth0;1.60;1.38;0.14;0.76;0.00;0.00;0.00
pgxl1;60;1440228476;lo;3.77;3.77;0.91;0.91;0.00;0.00;0.00
pgxl1;60;1440228536;eth0;1.48;1.28;0.13;0.76;0.00;0.00;0.00
pgxl1;60;1440228536;lo;6.07;6.07;1.22;1.22;0.00;0.00;0.00
pgxl1;60;1440228596;eth0;1.63;1.50;0.14;2.11;0.00;0.00;0.00
pgxl1;60;1440228596;lo;9.42;9.42;1.54;1.54;0.00;0.00;0.00
pgxl1;60;1440228656;eth0;204.52;159.33;1029.96;486.90;0.00;0.00;0.00
pgxl1;60;1440228656;lo;19.33;19.33;67.54;67.54;0.00;0.00;0.00
pgxl1;60;1440228716;eth0;1619.23;1428.97;7256.83;7293.49;0.00;0.00;0.00
pgxl1;60;1440228716;lo;238.53;238.53;1038.45;1038.45;0.00;0.00;0.00
pgxl1;60;1440228776;eth0;119.20;121.25;593.26;596.77;0.00;0.00;0.00
pgxl1;60;1440228776;lo;22.03;22.03;85.70;85.70;0.00;0.00;0.00
pgxl1;60;1440228836;eth0;1130.37;1130.83;4067.22;4094.02;0.00;0.00;0.00
pgxl1;60;1440228836;lo;164.78;164.78;581.98;581.98;0.00;0.00;0.00
pgxl1;60;1440228896;eth0;282.65;282.08;1082.98;899.18;0.00;0.00;0.00
pgxl1;60;1440228896;lo;43.45;43.45;129.44;129.44;0.00;0.00;0.00
pgxl1;60;1440228956;eth0;53.38;199.60;3.61;1492.38;0.00;0.00;0.00
pgxl1;60;1440228956;lo;5.27;5.27;1.26;1.26;0.00;0.00;0.00
pgxl1;60;1440229016;eth0;6.28;6.32;5.09;11.73;0.00;0.00;0.00
pgxl1;60;1440229016;lo;8.07;8.07;2.13;2.13;0.00;0.00;0.00
pgxl1;60;1440229076;eth0;66.22;158.80;4.50;1135.46;0.00;0.00;0.00
pgxl1;60;1440229076;lo;4.58;4.58;1.06;1.06;0.00;0.00;0.00
pgxl1;60;1440229136;eth0;1.85;1.58;0.70;0.58;0.00;0.00;0.00
pgxl1;60;1440229136;lo;3.75;3.75;0.92;0.92;0.00;0.00;0.00
pgxl1;60;1440229196;eth0;36.18;149.20;2.06;1462.34;0.00;0.00;0.00
pgxl1;60;1440229196;lo;5.42;5.42;1.12;1.12;0.00;0.00;0.00
pgxl1;60;1440229256;eth0;1440.03;1494.32;170.62;921.55;0.00;0.00;0.00
pgxl1;60;1440229256;lo;211.27;211.27;25.85;25.85;0.00;0.00;0.00
pgxl1;60;1440229316;eth0;2.17;1.85;1.14;0.61;0.00;0.00;0.00
pgxl1;60;1440229316;lo;7.90;7.90;1.44;1.44;0.00;0.00;0.00
