# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl6;60;1440224124;eth0;859.93;516.38;7348.89;35.10;0.00;0.00;0.00
pgxl6;60;1440224124;lo;14.85;14.85;3.27;3.27;0.00;0.00;0.00
pgxl6;60;1440224184;eth0;1255.40;809.27;10882.86;54.65;0.00;0.00;0.00
pgxl6;60;1440224184;lo;13.48;13.48;2.51;2.51;0.00;0.00;0.00
pgxl6;60;1440224244;eth0;1235.32;869.22;10668.67;58.83;0.00;0.00;0.00
pgxl6;60;1440224244;lo;13.72;13.72;2.65;2.65;0.00;0.00;0.00
pgxl6;60;1440224304;eth0;1200.87;901.80;10411.60;61.46;0.00;0.00;0.00
pgxl6;60;1440224304;lo;13.48;13.48;2.51;2.51;0.00;0.00;0.00
pgxl6;60;1440224364;eth0;1252.42;972.50;10804.49;132.35;0.00;0.00;0.00
pgxl6;60;1440224364;lo;13.83;13.83;2.83;2.83;0.00;0.00;0.00
pgxl6;60;1440224424;eth0;1237.62;896.55;10732.51;89.91;0.00;0.00;0.00
pgxl6;60;1440224424;lo;14.00;14.00;2.41;2.41;0.00;0.00;0.00
pgxl6;60;1440224484;eth0;1218.08;857.27;10558.73;58.41;0.00;0.00;0.00
pgxl6;60;1440224484;lo;10.22;10.22;2.03;2.03;0.00;0.00;0.00
pgxl6;60;1440224544;eth0;1273.20;944.37;11008.56;93.12;0.00;0.00;0.00
pgxl6;60;1440224544;lo;7.03;7.03;1.56;1.56;0.00;0.00;0.00
pgxl6;60;1440224604;eth0;1232.13;891.37;10641.18;99.88;0.00;0.00;0.00
pgxl6;60;1440224604;lo;7.15;7.15;1.63;1.63;0.00;0.00;0.00
pgxl6;60;1440224664;eth0;1176.82;829.83;10180.10;84.36;0.00;0.00;0.00
pgxl6;60;1440224664;lo;5.37;5.37;1.19;1.19;0.00;0.00;0.00
pgxl6;60;1440224724;eth0;1221.93;832.48;10540.95;56.43;0.00;0.00;0.00
pgxl6;60;1440224724;lo;13.63;13.63;2.39;2.39;0.00;0.00;0.00
pgxl6;60;1440224784;eth0;1252.28;854.55;10707.25;57.60;0.00;0.00;0.00
pgxl6;60;1440224784;lo;10.98;10.98;1.94;1.94;0.00;0.00;0.00
pgxl6;60;1440224844;eth0;1275.43;907.85;10893.51;61.05;0.00;0.00;0.00
pgxl6;60;1440224844;lo;7.30;7.30;1.58;1.58;0.00;0.00;0.00
pgxl6;60;1440224904;eth0;1238.03;869.28;10562.94;59.26;0.00;0.00;0.00
pgxl6;60;1440224904;lo;6.27;6.27;1.48;1.48;0.00;0.00;0.00
pgxl6;60;1440224964;eth0;934.95;771.73;7625.15;107.92;0.00;0.00;0.00
pgxl6;60;1440224964;lo;6.72;6.72;1.54;1.54;0.00;0.00;0.00
pgxl6;60;1440225024;eth0;935.65;461.80;8112.63;30.35;0.00;0.00;0.00
pgxl6;60;1440225024;lo;13.55;13.55;2.51;2.51;0.00;0.00;0.00
pgxl6;60;1440225084;eth0;1061.70;905.97;8598.69;59.10;0.00;0.00;0.00
pgxl6;60;1440225084;lo;14.82;14.82;2.51;2.51;0.00;0.00;0.00
pgxl6;60;1440225144;eth0;981.60;914.17;7841.03;59.65;0.00;0.00;0.00
pgxl6;60;1440225144;lo;12.12;12.12;2.06;2.06;0.00;0.00;0.00
pgxl6;60;1440225204;eth0;981.70;950.42;7823.36;61.84;0.00;0.00;0.00
pgxl6;60;1440225204;lo;4.60;4.60;1.11;1.11;0.00;0.00;0.00
pgxl6;60;1440225264;eth0;1050.12;1016.53;8358.67;96.63;0.00;0.00;0.00
pgxl6;60;1440225264;lo;4.77;4.77;1.14;1.14;0.00;0.00;0.00
pgxl6;60;1440225324;eth0;980.22;949.78;7799.65;103.58;0.00;0.00;0.00
pgxl6;60;1440225324;lo;8.17;8.17;1.61;1.61;0.00;0.00;0.00
pgxl6;60;1440225384;eth0;979.18;946.03;7804.67;61.49;0.00;0.00;0.00
pgxl6;60;1440225384;lo;4.23;4.23;0.99;0.99;0.00;0.00;0.00
pgxl6;60;1440225444;eth0;982.30;950.23;7804.19;62.32;0.00;0.00;0.00
pgxl6;60;1440225444;lo;4.17;4.17;0.99;0.99;0.00;0.00;0.00
pgxl6;60;1440225504;eth0;982.87;952.32;7798.19;62.62;0.00;0.00;0.00
pgxl6;60;1440225504;lo;4.32;4.32;1.03;1.03;0.00;0.00;0.00
pgxl6;60;1440225564;eth0;983.98;951.68;7802.55;62.74;0.00;0.00;0.00
pgxl6;60;1440225564;lo;4.62;4.62;1.03;1.03;0.00;0.00;0.00
pgxl6;60;1440225624;eth0;983.38;951.10;7816.79;62.25;0.00;0.00;0.00
pgxl6;60;1440225624;lo;7.40;7.40;1.44;1.44;0.00;0.00;0.00
pgxl6;60;1440225684;eth0;1047.00;1011.78;8346.49;65.69;0.00;0.00;0.00
pgxl6;60;1440225684;lo;4.18;4.18;0.99;0.99;0.00;0.00;0.00
pgxl6;60;1440225744;eth0;981.43;951.48;7823.44;61.87;0.00;0.00;0.00
pgxl6;60;1440225744;lo;4.05;4.05;0.98;0.98;0.00;0.00;0.00
pgxl6;60;1440225804;eth0;982.30;951.62;7828.50;61.89;0.00;0.00;0.00
pgxl6;60;1440225804;lo;4.17;4.17;0.99;0.99;0.00;0.00;0.00
pgxl6;60;1440225864;eth0;984.90;952.65;7849.61;61.90;0.00;0.00;0.00
pgxl6;60;1440225864;lo;4.20;4.20;1.04;1.04;0.00;0.00;0.00
pgxl6;60;1440225924;eth0;914.98;883.30;7283.40;57.53;0.00;0.00;0.00
pgxl6;60;1440225924;lo;12.42;12.42;2.41;2.41;0.00;0.00;0.00
pgxl6;60;1440225984;eth0;1.40;1.32;0.14;0.54;0.00;0.00;0.00
pgxl6;60;1440225984;lo;8.30;8.30;1.47;1.47;0.00;0.00;0.00
pgxl6;60;1440226044;eth0;1.82;2.20;0.17;0.61;0.00;0.00;0.00
pgxl6;60;1440226044;lo;6.97;6.97;1.31;1.31;0.00;0.00;0.00
