# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl2;60;1440224124;29546912;1440908;4.65;0;1074444;8979600;28.98;410972;744920;234092
pgxl2;60;1440224184;28481008;2506812;8.09;0;1988768;9142364;29.50;1098880;1088940;307848
pgxl2;60;1440224244;27458772;3529048;11.39;0;2865732;9271448;29.92;1810808;1372708;268252
pgxl2;60;1440224304;26724172;4263648;13.76;0;3775508;9051808;29.21;2304616;1586928;497260
pgxl2;60;1440224364;25574632;5413188;17.47;0;4590220;9391016;30.31;3243100;1766644;298960
pgxl2;60;1440224424;24846712;6141108;19.82;0;5326104;9350480;30.17;4169576;1547516;233116
pgxl2;60;1440224484;23235656;7752164;25.02;0;6772924;9445596;30.48;5048484;2198868;124828
pgxl2;60;1440224544;21508192;9479628;30.59;0;7584596;10373204;33.48;7256232;1733284;599196
pgxl2;60;1440224604;21982232;9005588;29.06;0;8291824;9147304;29.52;6761500;1735516;479200
pgxl2;60;1440224664;21157280;9830540;31.72;0;8985780;9279908;29.95;7564332;1733216;303296
pgxl2;60;1440224724;20162776;10825044;34.93;0;9682584;9549552;30.82;8656680;1618660;710148
pgxl2;60;1440224784;19176104;11811716;38.12;0;10373348;9838600;31.75;9645948;1594500;476072
pgxl2;60;1440224844;15901956;15085864;48.68;0;13061168;10371180;33.47;11260956;3177700;150756
pgxl2;60;1440224904;15791020;15196800;49.04;0;13792372;9754072;31.48;11386840;3179888;488964
pgxl2;60;1440224964;12243648;18744172;60.49;0;14638372;12506240;40.36;14548528;3505920;834352
pgxl2;60;1440225024;13729340;17258480;55.69;0;16316292;9158080;29.55;12142208;4398508;1063200
pgxl2;60;1440225084;11264776;19723044;63.65;0;17992260;9996420;32.26;13484928;5493064;577104
pgxl2;60;1440225144;9131488;21856332;70.53;0;18794768;11239296;36.27;18578220;2509664;325768
pgxl2;60;1440225204;9669312;21318508;68.80;0;19282736;10191868;32.89;18042556;2498856;351944
pgxl2;60;1440225264;8931404;22056416;71.18;0;19816176;10390224;33.53;18819180;2450352;329184
pgxl2;60;1440225324;9685336;21302484;68.74;0;20321844;9102704;29.38;18086004;2422656;306348
pgxl2;60;1440225384;9198872;21788948;70.31;0;20808788;9088512;29.33;18630844;2353292;278536
pgxl2;60;1440225444;8685160;22302660;71.97;0;21311752;9085416;29.32;19130416;2354856;255144
pgxl2;60;1440225504;8192812;22795008;73.56;0;21799388;9076188;29.29;19636384;2331648;203096
pgxl2;60;1440225564;7443292;23544528;75.98;0;22301032;9328100;30.10;20462472;2247000;170292
pgxl2;60;1440225624;6359432;24628388;79.48;0;22788352;9894812;31.93;21609956;2175044;104776
pgxl2;60;1440225684;5814488;25173332;81.24;0;23321532;9892152;31.92;22188908;2127828;55464
pgxl2;60;1440225744;5304928;25682892;82.88;0;23817492;9892536;31.92;22683288;2129344;8876
pgxl2;60;1440225804;4799200;26188620;84.51;0;24311832;9889056;31.91;23177192;2127468;370736
pgxl2;60;1440225864;4303148;26684672;86.11;0;24815476;9867872;31.84;23745904;2042468;348872
pgxl2;60;1440225924;3654796;27333024;88.21;0;25274040;10048932;32.43;24417512;2007848;2695080
pgxl2;60;1440225984;554484;30433336;98.21;0;25274432;13484640;43.52;27513636;2008216;5165612
pgxl2;60;1440226044;1521624;29466196;95.09;0;24386852;14469232;46.69;18154416;10418204;1367576
pgxl2;60;1440226104;225708;30762112;99.27;0;19773244;20462956;66.04;20916188;8990548;68
pgxl2;60;1440226164;694808;30293012;97.76;0;7376200;37060404;119.60;25701248;4143380;0
pgxl2;60;1440226224;221948;30765872;99.28;0;11339696;32636220;105.32;22138016;8065092;1306664
pgxl2;60;1440226284;7433248;23554572;76.01;0;13455252;20821152;67.19;12809836;10136420;433416
pgxl2;60;1440226344;15778204;15209616;49.08;0;14479012;10051740;32.44;4384644;10209304;950724
pgxl2;60;1440226404;13106560;17881260;57.70;0;17074388;10060380;32.47;6983656;10214212;427588
pgxl2;60;1440226464;9768836;21218984;68.48;0;20329780;10060376;32.47;10245420;10207712;1593640
pgxl2;60;1440226524;7627844;23359976;75.38;0;22400152;10057864;32.46;11758340;10764036;1047784
pgxl2;60;1440226584;4499408;26488412;85.48;0;25528424;10057872;32.46;21868656;3782008;3788
pgxl2;60;1440226644;3399220;27588600;89.03;0;25565808;10075164;32.51;22965472;3783416;140
