Linux 3.10.0-229.el7.x86_64 (pgxl8) 	08/22/2015 	_x86_64_	(4 CPU)

03:42:46 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:43:46 AM     all     35.99      0.00     12.15     26.26      0.11     25.48
03:44:46 AM     all     12.88      0.00      5.35     42.94      0.37     38.45
03:45:46 AM     all     48.67      0.00     14.41     19.92      0.24     16.76
03:46:46 AM     all     33.64      0.00     10.71     15.14      0.11     40.40
03:47:46 AM     all      4.88      0.00      1.46     16.43      0.03     77.19
03:48:46 AM     all      5.04      0.00      0.95      0.89      0.01     93.11
03:49:46 AM     all      1.92      0.00      0.98      6.80      0.02     90.28
03:50:46 AM     all      3.55      0.00      0.36      1.31      0.00     94.78
03:51:46 AM     all      7.36      0.00      2.87      2.79      0.05     86.92
03:52:46 AM     all      1.07      0.00      1.17     36.72      0.35     60.69
03:53:46 AM     all      8.05      0.00      3.96     38.01      0.12     49.87
03:54:46 AM     all     13.46      0.00      3.20     21.41      0.11     61.82
03:55:46 AM     all      1.17      0.00      0.65      0.30      0.01     97.87
03:56:46 AM     all      7.73      0.00      2.38      5.45      0.12     84.32
03:57:46 AM     all     49.52      0.00      4.87      4.55      0.08     40.98
03:58:46 AM     all     65.13      0.00      9.11      1.72      0.13     23.91
03:59:46 AM     all     49.95      0.00      9.75     11.12      0.21     28.97
04:00:46 AM     all     24.89      0.00      4.24     28.80      0.16     41.91
04:01:46 AM     all     37.43      0.00      6.30     14.25      0.26     41.77
04:02:46 AM     all     36.11      0.00      7.22      2.18      0.30     54.18
04:03:46 AM     all     15.76      0.00      2.04     20.24      0.14     61.82
04:04:46 AM     all     11.89      0.00      1.13     23.03      0.15     63.80
04:05:46 AM     all     13.12      0.00      1.20     22.76      0.16     62.77
04:06:46 AM     all     12.12      0.00      3.16     13.16      0.10     71.46
04:07:46 AM     all     20.64      0.00      2.41      9.73      0.10     67.12
04:08:46 AM     all     27.94      0.00      1.46      0.04      0.05     70.50
04:09:46 AM     all     42.10      0.00      1.84      9.72      0.07     46.27
04:10:46 AM     all     39.76      0.00      4.73     17.08      0.09     38.33
04:11:46 AM     all     29.32      0.00      4.61     23.46      0.10     42.51
04:12:46 AM     all     36.83      0.00      4.93     23.79      0.21     34.24
04:13:46 AM     all     22.90      0.00      1.90     12.15      0.06     63.00
04:14:46 AM     all     12.91      0.00      3.38      8.53      0.04     75.14
04:15:46 AM     all      8.23      0.00      2.58     26.21      0.10     62.89
04:16:46 AM     all      4.60      0.00      1.63     48.95      0.29     44.53
04:17:46 AM     all      0.10      0.00      0.67     35.74      0.38     63.10
04:18:46 AM     all      0.10      0.00      0.69     29.42      0.26     69.53
04:19:46 AM     all     11.41      0.00      3.31     38.91      0.20     46.17
04:20:46 AM     all     33.66      0.00      7.46     22.27      0.37     36.24
04:21:46 AM     all     27.40      0.00      4.38      8.72      0.33     59.16
04:22:46 AM     all     35.78      0.00      5.79     15.87      0.30     42.26
04:23:46 AM     all     44.64      0.00      5.79     24.13      0.31     25.13
04:24:46 AM     all     42.96      0.00      4.51      3.88      0.22     48.43
04:25:46 AM     all     50.49      0.00      4.40      1.69      0.18     43.23
04:26:46 AM     all     50.44      0.00      4.53      2.68      0.18     42.16
04:27:46 AM     all     47.67      0.00      6.11      3.15      0.18     42.90
04:28:46 AM     all     37.29      0.00      3.79     20.29      0.24     38.39
04:29:46 AM     all     51.85      0.00      5.37      7.30      0.20     35.28
04:30:46 AM     all     52.41      0.00      6.26      4.07      0.20     37.06
04:31:46 AM     all     67.63      0.00     10.12      9.52      0.16     12.57
04:32:46 AM     all     55.33      0.00      7.29     21.91      0.16     15.32
04:33:46 AM     all     52.63      0.00     12.78     15.94      0.97     17.69
04:34:46 AM     all     67.17      0.00     10.94     10.01      0.73     11.15
04:35:46 AM     all     30.67      0.00      2.92     20.31      0.28     45.82
04:36:46 AM     all     15.94      0.00      1.99     33.59      0.43     48.05
04:37:46 AM     all     30.31      0.00      3.09     31.77      0.33     34.49
04:38:46 AM     all     16.13      0.00      3.30     42.85      0.24     37.48
04:39:46 AM     all      1.33      0.00      1.48     59.21      0.41     37.57
04:40:46 AM     all      2.29      0.00      1.67     59.56      0.43     36.06
04:41:46 AM     all      5.62      0.00      1.98     37.74      0.20     54.46
04:42:46 AM     all     14.56      0.00      2.39      4.09      0.07     78.88
04:43:46 AM     all     10.58      0.00      2.78     14.47      0.16     72.00
04:44:46 AM     all     50.59      0.00      6.67     15.18      0.15     27.41
04:45:46 AM     all     12.78      0.00      4.16     26.30      0.11     56.64
04:46:46 AM     all     11.96      0.00      2.79     48.57      0.21     36.47
04:47:46 AM     all     16.86      0.00      3.05     20.62      0.10     59.37
04:48:46 AM     all     19.56      0.00      3.39      9.79      0.08     67.17
04:49:46 AM     all      5.04      0.00      2.39     39.98      0.34     52.25
04:50:46 AM     all     10.90      0.00      2.73      6.04      0.12     80.20
04:51:46 AM     all     19.21      0.00      3.08     16.90      0.26     60.55
04:52:46 AM     all     38.26      0.00      5.04     17.84      0.24     38.63
04:53:46 AM     all     78.48      0.00      5.71      3.37      0.08     12.36
04:54:46 AM     all     77.14      0.00      4.38      5.44      0.08     12.95
04:55:46 AM     all     26.46      0.00      6.37     33.63      0.16     33.37
04:56:46 AM     all     10.14      0.00      2.70     62.05      0.33     24.79
04:57:46 AM     all     20.21      0.00      3.80     51.16      0.42     24.41
04:58:46 AM     all     27.80      0.00      5.16     27.84      0.32     38.87
04:59:46 AM     all     34.90      0.00      4.97      5.26      0.32     54.55
05:00:46 AM     all     50.84      0.00      4.96     14.11      0.21     29.88
05:01:46 AM     all     70.95      0.00      7.22      5.12      0.13     16.58
05:02:46 AM     all     37.27      0.00      5.07     31.72      0.20     25.74
05:03:46 AM     all     24.43      0.00      5.59     47.02      0.32     22.63
05:04:46 AM     all     40.72      0.00      9.92     28.50      0.42     20.43
05:05:46 AM     all     43.35      0.00      7.99     18.30      0.33     30.01
05:06:46 AM     all     59.28      0.00     11.23     10.18      0.22     19.09
05:07:46 AM     all     34.02      0.00      7.86     33.90      0.25     23.98
05:08:46 AM     all     36.13      0.00      5.78     24.05      0.41     33.63
05:09:46 AM     all     35.62      0.00      4.48     10.83      0.23     48.83
05:10:46 AM     all     17.72      0.00      2.57     25.88      0.27     53.56
05:11:46 AM     all     21.48      0.00      2.55     15.22      0.17     60.58
05:12:46 AM     all     35.83      0.00      3.21      1.71      0.12     59.13
05:13:46 AM     all     52.60      0.00      4.87      1.28      0.09     41.16
05:14:46 AM     all     41.71      0.00      7.10     13.02      0.29     37.88
05:15:46 AM     all     28.10      0.00      5.34     32.32      0.14     34.10
05:16:46 AM     all     21.81      0.00      3.47     25.64      0.20     48.89
05:17:46 AM     all     24.35      0.00      4.06     25.65      0.22     45.72
05:18:46 AM     all     27.07      0.00      4.41      6.32      0.11     62.09
05:19:46 AM     all     23.48      0.00      1.68      0.46      0.06     74.31
05:20:46 AM     all     52.61      0.00      4.21      7.66      0.22     35.29
05:21:46 AM     all     28.29      0.00      3.51     22.01      0.48     45.71
05:22:46 AM     all     39.04      0.00      4.62     20.36      0.46     35.51
05:23:46 AM     all     43.81      0.00      5.01     17.47      0.42     33.29
05:24:46 AM     all     48.86      0.00      5.92      5.85      0.26     39.11
05:25:46 AM     all      2.86      0.00      1.10      0.22      0.04     95.79
05:26:46 AM     all      8.54      0.00      0.92      0.03      0.00     90.52
05:27:46 AM     all     24.58      0.00      1.14      0.00      0.00     74.27
05:28:46 AM     all      7.82      0.00      2.77     13.37      0.06     75.98
05:29:46 AM     all      0.02      0.00      0.79     23.39      0.14     75.66
05:30:46 AM     all      2.37      0.00      3.43      4.30      0.03     89.87
