ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,22538,10,pgxc,10.93.131.148,40275,2015-08-22 03:42:47.133742-04,,2015-08-22 03:42:47.239381-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-22 03:42:47.244476-04
946684800,22543,10,psql,10.93.131.148,40331,2015-08-22 03:42:47.284022-04,,2015-08-22 03:42:47.301623-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 03:42:47.301626-04
946684800,22538,10,pgxc,10.93.131.148,40275,2015-08-22 03:42:47.133742-04,2015-08-22 03:42:54.766765-04,2015-08-22 03:42:54.77059-04,f,Remote Subplan,active,2015-08-22 03:42:54.822341-04
946684800,22561,10,pgxc,10.93.131.148,40440,2015-08-22 03:42:55.02803-04,2015-08-22 03:42:54.979342-04,2015-08-22 03:42:54.981333-04,f,Remote Subplan,active,2015-08-22 03:42:55.049817-04
946684800,22562,10,pgxc,10.93.131.148,40452,2015-08-22 03:42:55.203381-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:42:55.460621-04,f,Remote Subplan,active,2015-08-22 03:42:55.533787-04
946684800,22563,10,pgxc,10.92.9.245,33517,2015-08-22 03:42:55.281143-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:43.141472-04,f,Remote Subplan,active,2015-08-22 03:43:43.312508-04
946684800,22564,10,pgxc,10.87.3.232,44329,2015-08-22 03:42:55.281251-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:36.939425-04,f,Remote Subplan,active,2015-08-22 03:43:37.114374-04
946684800,22565,10,pgxc,10.94.132.84,43992,2015-08-22 03:42:55.285296-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:37.505376-04,f,Remote Subplan,active,2015-08-22 03:43:37.689374-04
946684800,22566,10,pgxc,10.223.4.4,37251,2015-08-22 03:42:55.28665-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:44.443213-04,f,Remote Subplan,active,2015-08-22 03:43:44.617094-04
946684800,22567,10,pgxc,10.93.131.148,40460,2015-08-22 03:42:55.286938-04,2015-08-22 03:42:54.838978-04,2015-08-22 03:42:54.841821-04,f,Remote Subplan,active,2015-08-22 03:42:55.329364-04
946684800,22568,10,pgxc,10.87.3.185,51592,2015-08-22 03:42:55.289972-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:29.043295-04,f,Remote Subplan,active,2015-08-22 03:43:29.230493-04
946684800,22569,10,pgxc,10.87.8.227,50614,2015-08-22 03:42:55.293072-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:34.376196-04,f,Remote Subplan,active,2015-08-22 03:43:34.548865-04
946684800,22570,10,pgxc,10.87.3.206,38313,2015-08-22 03:42:55.500622-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:31.245538-04,f,Remote Subplan,active,2015-08-22 03:43:31.631038-04
946684800,22571,10,pgxc,10.87.3.185,51607,2015-08-22 03:42:56.132327-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.627698-04,f,Remote Subplan,active,2015-08-22 03:43:47.643171-04
946684800,22572,10,pgxc,10.87.8.227,50629,2015-08-22 03:42:56.133205-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.623651-04,f,Remote Subplan,active,2015-08-22 03:43:47.639216-04
946684800,22573,10,pgxc,10.87.3.206,38322,2015-08-22 03:42:56.134291-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.589795-04,f,Remote Subplan,active,2015-08-22 03:43:47.616045-04
946684800,22574,10,pgxc,10.92.9.245,33532,2015-08-22 03:42:56.134922-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.585782-04,f,Remote Subplan,active,2015-08-22 03:43:47.604366-04
946684800,22575,10,pgxc,10.223.4.4,37266,2015-08-22 03:42:56.135072-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.624367-04,f,Remote Subplan,active,2015-08-22 03:43:47.652897-04
946684800,22576,10,pgxc,10.87.3.232,44344,2015-08-22 03:42:56.136458-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.639642-04,f,Remote Subplan,active,2015-08-22 03:43:47.657085-04
946684800,22577,10,pgxc,10.94.132.84,44008,2015-08-22 03:42:56.136634-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.584675-04,f,Remote Subplan,active,2015-08-22 03:43:47.59857-04
946684800,22578,10,pgxc,10.95.141.120,60650,2015-08-22 03:42:56.286637-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:34.255205-04,f,Remote Subplan,active,2015-08-22 03:43:35.441419-04
946684800,22579,10,pgxc,10.95.141.120,60666,2015-08-22 03:42:56.425262-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.307834-04,f,Remote Subplan,active,2015-08-22 03:43:47.654474-04
946684800,22580,10,pgxc,10.93.131.148,40469,2015-08-22 03:42:57.569078-04,2015-08-22 03:42:57.441668-04,2015-08-22 03:42:57.46261-04,f,COPY public.lineitem FROM STDIN DELIMITER AS '|',active,2015-08-22 03:42:57.636314-04
946684800,22582,10,pgxc,10.93.131.148,40481,2015-08-22 03:43:15.311076-04,,2015-08-22 03:43:15.974869-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-22 03:43:16.11527-04
946684800,22585,10,psql,10.93.131.148,40523,2015-08-22 03:43:47.255628-04,,2015-08-22 03:43:47.274091-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2015-08-22 03:43:47.274094-04
