Linux 3.10.0-229.el7.x86_64 (pgxl3) 	08/22/2015 	_x86_64_	(4 CPU)

03:42:46 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:43:46 AM     all     36.49      0.00     13.05     24.19      0.10     26.17
03:44:46 AM     all     11.98      0.00      5.44     46.31      0.24     36.03
03:45:46 AM     all     43.36      0.00     13.48     21.02      0.25     21.89
03:46:46 AM     all     25.31      0.00      9.41     19.39      0.18     45.71
03:47:46 AM     all     16.64      0.11      3.98     25.03      0.03     54.20
03:48:46 AM     all      8.01      0.00      1.34      1.06      0.01     89.58
03:49:46 AM     all      0.79      0.00      0.89     25.76      0.09     72.46
03:50:46 AM     all      5.14      0.00      1.48     35.70      0.09     57.60
03:51:46 AM     all      2.87      0.00      1.30     17.29      0.10     78.44
03:52:46 AM     all      2.38      0.00      1.80     25.60      0.19     70.04
03:53:46 AM     all      5.06      0.00      3.01     37.76      0.11     54.07
03:54:46 AM     all      2.89      0.00      1.51     61.95      0.18     33.47
03:55:46 AM     all      4.70      0.00      2.15     65.32      0.17     27.67
03:56:46 AM     all     15.59      0.00      5.39     42.00      0.16     36.87
03:57:46 AM     all     45.34      0.00      6.70     26.04      0.12     21.80
03:58:46 AM     all     62.71      0.00      9.62      3.67      0.13     23.87
03:59:46 AM     all     65.17      0.00      8.68      4.05      0.11     21.98
04:00:46 AM     all     18.43      0.00      3.45     36.30      0.11     41.72
04:01:46 AM     all     42.14      0.00      7.14     15.46      0.18     35.07
04:02:46 AM     all     44.82      0.00     10.53     13.47      0.27     30.92
04:03:46 AM     all     20.93      0.00      2.86     27.69      0.16     48.36
04:04:46 AM     all     12.24      0.00      0.91     23.94      0.10     62.81
04:05:46 AM     all     15.39      0.00      2.56     42.32      0.34     39.39
04:06:46 AM     all     19.62      0.00      9.35     32.45      1.44     37.13
04:07:46 AM     all     32.38      0.00     12.45     22.08      1.49     31.61
04:08:46 AM     all     52.83      0.00     14.24     11.33      1.47     20.13
04:09:46 AM     all     56.73      0.00      5.96     12.94      0.36     24.01
04:10:46 AM     all     46.91      0.00      4.24     19.30      0.09     29.46
04:11:46 AM     all     35.94      0.00      8.08     32.67      0.16     23.15
04:12:46 AM     all     26.79      0.00      4.06     27.38      0.25     41.52
04:13:46 AM     all      7.09      0.00      1.44     34.05      0.32     57.11
04:14:46 AM     all     20.34      0.00      1.69      9.26      0.03     68.69
04:15:46 AM     all     11.35      0.00      3.97     26.11      0.06     58.52
