# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl4;60;1440224124;29476016;1511804;4.88;0;1140328;9037836;29.17;418224;806184;237256
pgxl4;60;1440224184;28426448;2561372;8.27;0;2032896;9209852;29.72;1107224;1141680;309476
pgxl4;60;1440224244;27429044;3558776;11.48;0;2926836;9297196;30.00;1780772;1434576;235896
pgxl4;60;1440224304;26715908;4271912;13.79;0;3782052;9110812;29.40;2286340;1614780;481240
pgxl4;60;1440224364;25570336;5417484;17.48;0;4603044;9441764;30.47;3215056;1801644;370116
pgxl4;60;1440224424;24837108;6150712;19.85;0;5341148;9399604;30.33;4146752;1579184;248176
pgxl4;60;1440224484;23222444;7765376;25.06;0;6822028;9501072;30.66;5046972;2251288;455304
pgxl4;60;1440224544;21468892;9518928;30.72;0;7622540;10431136;33.66;7235960;1791212;564184
pgxl4;60;1440224604;21955368;9032452;29.15;0;8316524;9204964;29.71;6733624;1789492;279732
pgxl4;60;1440224664;21135764;9852056;31.79;0;8989704;9332344;30.12;7491368;1801992;320236
pgxl4;60;1440224724;20123740;10864080;35.06;0;9732880;9600648;30.98;8647276;1665752;761272
pgxl4;60;1440224784;19134852;11852968;38.25;0;10427992;9887184;31.91;9634928;1644292;325428
pgxl4;60;1440224844;15828920;15158900;48.92;0;13148860;10479112;33.82;11302260;3228152;389084
pgxl4;60;1440224904;15720296;15267524;49.27;0;13857084;9812916;31.67;11398972;3236668;421728
pgxl4;60;1440224964;12250108;18737712;60.47;0;14635004;12558672;40.53;14488952;3563604;969384
pgxl4;60;1440225024;12730532;18257288;58.92;0;16399488;10152456;32.76;13083228;4464884;1216220
pgxl4;60;1440225084;9762936;21224884;68.49;0;17656024;12283748;39.64;15334416;5149840;578320
pgxl4;60;1440225144;9055116;21932704;70.78;0;18869328;11297936;36.46;18574800;2588236;273216
pgxl4;60;1440225204;9591728;21396092;69.05;0;19357024;10251672;33.08;18037972;2578528;341280
pgxl4;60;1440225264;8854160;22133660;71.43;0;19888744;10449104;33.72;18812760;2531844;320268
pgxl4;60;1440225324;9624408;21363412;68.94;0;20379368;9162156;29.57;18078364;2490244;343568
pgxl4;60;1440225384;9122396;21865424;70.56;0;20881412;9147388;29.52;18620800;2438476;324728
pgxl4;60;1440225444;8626500;22361320;72.16;0;21367488;9144292;29.51;19120132;2422720;246520
pgxl4;60;1440225504;8116176;22871644;73.81;0;21872356;9135832;29.48;19625968;2417220;198976
pgxl4;60;1440225564;7410620;23577200;76.09;0;22359400;9362572;30.21;20424528;2321628;149584
pgxl4;60;1440225624;6282320;24705500;79.73;0;22860408;9954064;32.12;21594468;2266772;98604
pgxl4;60;1440225684;5737832;25249988;81.48;0;23393548;9951212;32.11;22172148;2220092;50276
pgxl4;60;1440225744;5238876;25748944;83.09;0;23878204;9951212;32.11;22668580;2209480;117708
pgxl4;60;1440225804;4721496;26266324;84.76;0;24384928;9947732;32.10;23162216;2219944;366636
pgxl4;60;1440225864;4241168;26746652;86.31;0;24872768;9926296;32.03;23728728;2121604;473616
pgxl4;60;1440225924;3578064;27409756;88.45;0;25344860;10107992;32.62;24407400;2093672;2790816
pgxl4;60;1440225984;1900164;29087656;93.87;0;25345244;11948288;38.56;26072928;2094016;4866904
pgxl4;60;1440226044;231404;30756416;99.25;0;25642568;14529860;46.89;20516796;9315280;1458300
pgxl4;60;1440226104;210280;30777540;99.32;0;19887236;20341204;65.64;20912892;8990260;72
pgxl4;60;1440226164;300504;30687316;99.03;0;7747932;37118924;119.79;25664572;4555528;72
pgxl4;60;1440226224;227684;30760136;99.27;0;11324660;32696516;105.51;22102776;8088668;1782368
pgxl4;60;1440226284;6278412;24709408;79.74;0;14574432;20879652;67.38;12791676;11276400;717052
pgxl4;60;1440226344;14623476;16364344;52.81;0;15598752;10110264;32.63;4377168;11339404;960348
pgxl4;60;1440226404;11886184;19101636;61.64;0;18258292;10118900;32.65;7036512;11346376;604196
pgxl4;60;1440226464;8610732;22377088;72.21;0;21451740;10118892;32.65;10238612;11339204;1486656
pgxl4;60;1440226524;6377632;24610188;79.42;0;23617168;10116400;32.65;11790780;11951400;1140632
pgxl4;60;1440226584;3524996;27462824;88.62;0;25586064;9953388;32.12;22841292;3751260;1412
pgxl4;60;1440226644;4406172;26581648;85.78;0;25587176;9068692;29.27;21961192;3752324;80
