Linux 3.10.0-229.el7.x86_64 (pgxl1) 	08/22/2015 	_x86_64_	(4 CPU)

02:58:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:59:56 AM     all      1.19      0.00      1.20      9.89      0.06     87.65
03:00:56 AM     all      3.37      0.00      2.88     14.77      0.10     78.89
03:01:56 AM     all     24.12      0.00      2.76      4.85      0.14     68.12
03:02:56 AM     all     11.48      0.00      0.64      1.80      0.06     86.02
03:03:56 AM     all     11.76      0.00      0.62      0.00      0.05     87.56
03:04:56 AM     all     11.44      0.00      0.62      0.00      0.05     87.89
03:05:56 AM     all     11.38      0.00      0.61      0.01      0.05     87.95
03:06:56 AM     all     11.17      0.00      0.55      0.01      0.05     88.21
03:07:56 AM     all     11.56      0.00      0.56      0.01      0.05     87.82
03:08:56 AM     all     11.78      0.00      0.66      0.00      0.05     87.51
03:09:56 AM     all     13.66      0.00      0.75      0.04      0.05     85.49
03:10:56 AM     all     13.85      0.00      0.80      1.06      0.05     84.24
03:11:56 AM     all     13.75      0.00      0.92      2.41      0.06     82.86
03:12:56 AM     all     13.03      0.00      0.84      2.13      0.06     83.94
03:13:56 AM     all      3.40      0.00      0.36     18.05      0.09     78.10
03:14:56 AM     all      3.32      0.00      0.80     19.07      0.14     76.68
03:15:56 AM     all     30.95      0.00      1.14      0.31      0.08     67.51
03:16:56 AM     all     31.03      0.00      3.45      4.77      0.29     60.47
03:17:56 AM     all     43.17      0.00      5.10      5.64      0.37     45.72
03:18:56 AM     all     43.98      0.00      5.39      3.57      0.35     46.71
03:19:56 AM     all     43.93      0.00      5.42      4.71      0.35     45.59
03:20:56 AM     all     12.55      0.00      3.60      9.81      0.13     73.92
03:21:56 AM     all     32.08      0.00      9.96      7.61      0.19     50.16
03:22:56 AM     all     14.01      0.00      1.64      9.97      0.02     74.37
03:23:56 AM     all     24.25      0.00      0.78      1.14      0.01     73.82
03:24:56 AM     all      9.47      0.00      2.35     13.57      0.03     74.59
03:25:56 AM     all     11.99      0.00      2.57     10.95      0.13     74.35
03:26:56 AM     all      6.07      0.00      2.83     16.74      0.33     74.03
03:27:56 AM     all      3.64      0.00      1.59     18.83      0.09     75.85
03:28:56 AM     all      6.17      0.00      2.52     15.32      0.07     75.92
03:29:56 AM     all     10.03      0.00      2.30      5.52      0.03     82.13
03:30:56 AM     all      1.76      0.00      0.88      0.02      0.11     97.23
03:31:56 AM     all     33.93      0.00     15.23      0.06      2.08     48.71
03:32:56 AM     all     21.44      0.00      1.47      1.65      0.01     75.43
03:33:56 AM     all     12.12      0.00      1.81      1.28      0.08     84.71
03:34:56 AM     all      4.95      0.00      1.00     13.86      0.06     80.13
03:35:56 AM     all      7.38      0.00      1.48      0.05      0.00     91.09
03:36:56 AM     all      9.03      0.00      3.35      2.25      0.04     85.33
03:37:56 AM     all     18.65      0.00      1.88      0.00      0.01     79.45
03:38:56 AM     all     22.88      0.00      1.59      0.70      0.00     74.83
03:39:56 AM     all      5.27      0.00      2.40     10.39      0.03     81.91
03:40:56 AM     all     10.34      0.00      1.85     13.83      0.20     73.77
03:41:56 AM     all     17.96      0.00      4.77      1.56      0.01     75.71
