Linux 3.10.0-229.el7.x86_64 (pgxl8) 	08/22/2015 	_x86_64_	(4 CPU)

02:14:24 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:15:24 AM     all      7.28      0.00      2.41      1.34      0.08     88.88
02:16:24 AM     all      8.49      0.00      1.25      2.27      0.10     87.89
02:17:24 AM     all     11.18      0.00      1.37      2.99      0.09     84.36
02:18:24 AM     all      7.69      0.00      1.34      3.22      0.08     87.66
02:19:24 AM     all     11.65      0.00      1.38      4.03      0.08     82.86
02:20:24 AM     all     22.86      0.00      1.55      9.44      0.07     66.09
02:21:24 AM     all     42.44      0.00      2.35      5.75      0.06     49.40
02:22:24 AM     all     44.23      0.00      2.14      4.79      0.06     48.78
02:23:24 AM     all     31.58      0.00      1.72      6.32      0.08     60.31
02:24:24 AM     all      5.21      0.00      1.39      3.65      0.10     89.65
02:25:24 AM     all      5.80      0.00      1.51      6.63      0.10     85.96
02:26:24 AM     all      5.93      0.00      1.51      5.46      0.13     86.97
02:27:24 AM     all     14.30      0.00      2.24      3.82      0.11     79.53
02:28:24 AM     all     24.95      0.00      1.44      5.87      0.09     67.65
02:29:24 AM     all     43.79      0.00      3.44      6.39      0.10     46.27
02:30:24 AM     all     41.80      0.00      2.56     27.23      0.06     28.34
02:31:24 AM     all     65.11      0.00      5.11     13.44      0.04     16.29
02:32:24 AM     all     75.06      0.00      3.63      5.52      0.05     15.73
02:33:24 AM     all     75.37      0.00      1.41      0.66      0.05     22.51
02:34:24 AM     all     40.29      0.00      1.16      2.03      0.09     56.43
02:35:24 AM     all     10.22      0.00      0.88      1.78      0.14     86.99
02:36:24 AM     all      5.13      0.00      0.80      1.88      0.15     92.04
02:37:24 AM     all      5.18      0.00      0.83      1.87      0.15     91.97
02:38:24 AM     all      5.33      0.00      0.86      1.89      0.15     91.77
02:39:24 AM     all      5.37      0.00      0.90      2.31      0.15     91.26
02:40:24 AM     all      5.66      0.00      0.92      1.88      0.15     91.39
02:41:24 AM     all      6.15      0.00      0.92      2.37      0.16     90.40
02:42:24 AM     all      5.74      0.00      0.79      1.30      0.15     92.02
02:43:24 AM     all      5.62      0.00      0.83      1.90      0.15     91.50
02:44:24 AM     all      5.59      0.00      0.79      1.48      0.14     92.00
02:45:24 AM     all      5.89      0.00      1.36      1.78      0.14     90.84
02:46:24 AM     all      3.23      0.00      1.55     44.72      0.06     50.44
02:47:24 AM     all     17.28      0.00      2.59     41.16      0.05     38.92
02:48:24 AM     all     46.85      0.00      8.62     15.74      0.03     28.75
02:49:24 AM     all     70.68      0.00     10.31      7.10      0.00     11.90
02:50:24 AM     all     92.45      0.00      2.39      1.91      0.00      3.25
02:51:24 AM     all     92.94      0.00      4.16      2.89      0.01      0.00
02:52:24 AM     all     58.79      0.00      2.00     23.11      0.04     16.05
02:53:24 AM     all      3.00      0.00      0.21     23.57      0.03     73.18
02:54:24 AM     all      0.15      0.00      0.15     23.56      0.04     76.09
02:55:24 AM     all      0.56      0.00      0.97     22.45      0.05     75.97
02:56:24 AM     all     18.99      0.00      1.25      4.67      0.01     75.07
02:57:24 AM     all     11.23      0.00      0.07      0.00      0.00     88.70
