2015-08-22 02:58:55 EDT [25217]: [1-1] user=,db=,app=,client= LOG:  database system was shut down at 2015-08-22 02:57:57 EDT
2015-08-22 02:58:55 EDT [25217]: [2-1] user=,db=,app=,client= LOG:  MultiXact member wraparound protections are now enabled
2015-08-22 02:58:55 EDT [25216]: [1-1] user=,db=,app=,client= LOG:  database system is ready to accept connections
2015-08-22 02:58:55 EDT [25222]: [1-1] user=,db=,app=,client= LOG:  autovacuum launcher started
2015-08-22 03:03:55 EDT [25219]: [1-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:03:55 EDT [25219]: [2-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.225 s, sync=0.004 s, total=0.235 s; sync files=3, longest=0.002 s, average=0.001 s; distance=4 kB, estimate=4 kB
2015-08-22 03:08:55 EDT [25219]: [3-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:08:55 EDT [25219]: [4-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.017 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=4 kB
2015-08-22 03:13:55 EDT [25219]: [5-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:13:55 EDT [25219]: [6-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=4 kB
2015-08-22 03:18:55 EDT [25219]: [7-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:18:55 EDT [25219]: [8-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=4 kB
2015-08-22 03:23:56 EDT [25219]: [9-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:23:56 EDT [25219]: [10-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=4 kB
2015-08-22 03:28:56 EDT [25219]: [11-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:28:56 EDT [25219]: [12-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=4 kB
2015-08-22 03:33:56 EDT [25219]: [13-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:33:56 EDT [25219]: [14-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.016 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=4 kB
2015-08-22 03:38:56 EDT [25219]: [15-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 03:38:58 EDT [25219]: [16-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 21 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.019 s, sync=0.015 s, total=2.039 s; sync files=16, longest=0.003 s, average=0.000 s; distance=101 kB, estimate=101 kB
2015-08-22 03:41:57 EDT [28932]: [1-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting relation statistics for pg_temp_2.tmp_orderkey2
2015-08-22 03:41:57 EDT [28932]: [2-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey2;
2015-08-22 03:41:57 EDT [28932]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_2.tmp_orderkey2
2015-08-22 03:41:57 EDT [28932]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey2;
2015-08-22 03:42:00 EDT [25216]: [2-1] user=,db=,app=,client= LOG:  received fast shutdown request
2015-08-22 03:42:00 EDT [25216]: [3-1] user=,db=,app=,client= LOG:  aborting any active transactions
2015-08-22 03:42:00 EDT [25222]: [2-1] user=,db=,app=,client= LOG:  autovacuum launcher shutting down
2015-08-22 03:42:00 EDT [25219]: [17-1] user=,db=,app=,client= LOG:  shutting down
2015-08-22 03:42:00 EDT [25219]: [18-1] user=,db=,app=,client= LOG:  checkpoint starting: shutdown immediate
2015-08-22 03:42:00 EDT [25219]: [19-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 28 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.011 s, sync=0.022 s, total=0.039 s; sync files=23, longest=0.002 s, average=0.000 s; distance=118 kB, estimate=118 kB
2015-08-22 03:42:00 EDT [25219]: [20-1] user=,db=,app=,client= LOG:  database system is shut down
