ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,1686,10,pgxc,10.93.131.148,44616,2015-08-22 02:58:57.28848-04,,2015-08-22 02:58:57.296484-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-22 02:58:57.35349-04
946684800,1688,10,psql,10.93.131.148,44634,2015-08-22 02:58:57.331975-04,,2015-08-22 02:58:57.348879-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.348882-04
946684800,1690,10,psql,10.93.131.148,44637,2015-08-22 02:58:57.334064-04,,2015-08-22 02:58:57.358291-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.358293-04
946684800,1691,10,psql,10.93.131.148,44639,2015-08-22 02:58:57.335192-04,,2015-08-22 02:58:57.358488-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.35849-04
946684800,1692,10,psql,10.93.131.148,44648,2015-08-22 02:58:57.340973-04,,2015-08-22 02:58:57.358407-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.35841-04
946684800,1689,10,psql,10.93.131.148,44635,2015-08-22 02:58:57.332284-04,,2015-08-22 02:58:57.361163-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.361165-04
946684800,1686,10,pgxc,10.93.131.148,44616,2015-08-22 02:58:57.28848-04,2015-08-22 02:59:04.930893-04,2015-08-22 02:59:49.181639-04,f,COPY public.orders FROM STDIN DELIMITER AS '|',active,2015-08-22 02:59:49.224745-04
946684800,1716,10,psql,10.93.131.148,44728,2015-08-22 02:59:57.349893-04,,2015-08-22 02:59:57.357084-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.357086-04
946684800,1717,10,psql,10.93.131.148,44730,2015-08-22 02:59:57.351029-04,,,f,"",idle,2015-08-22 02:59:57.361812-04
946684800,1715,10,psql,10.93.131.148,44718,2015-08-22 02:59:57.344422-04,,2015-08-22 02:59:57.359306-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.359309-04
946684800,1719,10,psql,10.93.131.148,44734,2015-08-22 02:59:57.354836-04,,,f,"",,
946684800,1686,10,pgxc,10.93.131.148,44616,2015-08-22 02:58:57.28848-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.614199-04,f,Remote Subplan,active,2015-08-22 03:00:23.637789-04
946684800,1720,10,pgxc,10.87.8.227,36404,2015-08-22 02:59:58.69247-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.602413-04,f,Remote Subplan,active,2015-08-22 03:00:23.634819-04
946684800,1721,10,pgxc,10.87.3.232,54246,2015-08-22 02:59:58.698068-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.602445-04,f,Remote Subplan,active,2015-08-22 03:00:23.636499-04
